No,SKU,Urun Adi,Sorun,Ana Kategori,Mevcut Kategoriler
23,CB 1565 A HC B-QUBE,"Brema CB1565 A HC B-QUBE Küp Buz Makinesi, 160 Kg/Gün Kapasiteli, 65 Kg Depolama Hazneli",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
24,DRB.100,Brema DRB 100 Buz Haznesi 2x108 kg kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
25,DRB.1200,Brema DRB 1200 Buz Haznesi 2x108 kg kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
26,Drb.500,"Brema DRB 500 Buz Haznesi, 2x108 kg kapasiteli",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
27,DSS42A,Brema DSS 42 A - 48 KG/GÜN KÜP BUZ MAKİNESİ DİSPENSERİ,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
28,Fresh.Maker,Brema FRESH MAKER W - 25 KG/GÜN KÜP BUZ MAKİNESİ VE SU DİSPENSERİ,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
29,G1000,Brema G 1000 A Kar Buz Makinesi 1000 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
30,G280A,Brema G 280 A HC Kar Buz Makinesi 300 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
31,G510A,Brema G 510 A Kar Buz Makinesi 500 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
32,GB1540A,Brema GB 1540 A HC Kar Buz Makinesi 175 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
33,GB902A,Brema GB 902 A HC Kar Buz Makinesi 125 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
34,IC18,"Brema IC 18 A HC Küp Buz Makinesi, 25 kg gün",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
35,IC24,"Brema IC 24 A HC Küp Buz Makinesi, 30 kg/gün",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
36,RB100,Brema RB 100 Buz Haznesi 108 kg Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
37,TB1404A,Brema TB 1404 A HC Granül Buz Makinesi 153 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
38,TB852A,Brema TB 852 A HC  Granül Buz Makinesi 105 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
39,TM.250A,Brema TM 250 A HC Granül Buz Makinesi 260 kg/gün Kapasiteli ,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
40,TM.450,Brema TM 450 A HC Granül Buz Makinesi 420 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
41,VB250,"Brema VB250 A HC Hızlı Küp Buz Makinesi, 105 kg/gün",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
42,VM1700,Brema VM 1700 A Buz Makinesi 770 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
43,VM350A,Brema VM 350 A Buz Makinesi 140 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
44,VM500A,Brema VM 500 A Buz Makinesi 200 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
45,VM900,Brema VM 900 A Buz Makinesi 400 kg/gün Kapasiteli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Brema Buz Makinesi"
46,,"CoffyTab A001-10 Kahve Değirmeni Temizleme Tozu, 150 gr",Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
47,,Conti NG-X 2 Tam Otomatik Espresso Kahve Makinesi 2 Gruplu Dozaj Ayarlı Siyah,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
48,653585,Dito Sama Kazan Arabası 35x65x105 cm,Eksik kategoriler: Servis ve Teşhir Üniteleri > Çok Amaçlı Arabalar,_X_Çok Amaçlı Arab_0d87a2,"_X_Çok Amaçlı Arab_0d87a2, Tüm Ürünler, Servis ve Teşhir Üniteleri"
49,9805.0B140.SA,Hoshizaki Buz Haznesi B140-SA 140 kg,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
50,9805.0B340.SA,Hoshizaki Buz Haznesi B340-SA 340 kg,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
51,IM100.CNE.HC,"Hoshizaki IM-100CNE-HC Hazneli Küp Buz Makinesi, 95 kg/gün Kapasiteli",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
52,9805.IM240A.NEH,Hoshizaki IM-240AN-EH Buz Makinesi 210 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
53,9805.IM240D.NHC,Hoshizaki IM-240DNE-HC Küp Buz Makinesi 210 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
54,9805.IM240X.NHC,Hoshizaki IM-240XNE-HC Küp Buz Makinesi 210 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
55,9805.IM30CN.EHC,"Hoshizaki IM-30CNE-HC Küp Buz Makinesi, 30 kg/gün Kapasiteli",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
